Case,Configuration,Wind Condition,Simulations,Success Rate (%),Mean Apogee (m),Std Apogee (m),Mean Flight Time (s),Std Flight Time (s),Mean Max Velocity (m/s),Mean Impact Velocity (m/s),2σ Major Axis (m),2σ Minor Axis (m),2σ Area (m²),2σ Radius (m),Major/Minor Ratio
1,Ballistic,high_winds_august,10,100.0,57101.90296074137,108.2158626202445,219.77011370768395,0.2095463277355979,1196.2566007795695,-814.9238449925701,5276.457416721129,2178.9377133866788,36119117.11637559,3390.733262639885,2.421573312676313
2,Drogue Only,high_winds_august,10,100.0,57117.695089067776,120.72344769599812,219.80086127949374,0.2311708494679352,1196.2617709530816,-815.0590205923332,5203.138324575875,2180.0350693681917,35635160.925537996,3367.9406197777694,2.386722304464499
3,Main at Apogee,high_winds_august,10,100.0,57327.21642496703,801.3760472366938,220.21504437432947,1.5628213131430502,1196.235123389756,-816.6457191934392,34527.37062519595,3419.661875508953,370933917.271976,10866.090970931098,10.096720635591259
4,Ballistic,typical_august,10,100.0,59066.392850779535,568.9950379080836,223.5589692949996,1.0943775670140719,1196.6067164623005,-831.4547720678086,21082.823277680774,18650.14939118949,1235267331.5643206,19829.2159128089,1.1304372332610109
5,Drogue Only,typical_august,10,100.0,53487.04717252469,17366.93075464239,206.57343530546933,52.13970871714471,1144.6675577360768,-752.4945359230479,19694.727377188145,15472.775548051643,957344114.6950399,17456.57744769289,1.272863250424914
6,Main at Apogee,typical_august,10,100.0,59388.5125233155,487.871777427732,224.22843436270233,0.9951214832323123,1196.5919178283507,-833.3491500607397,20642.61736639874,9478.428178575568,614682655.54358,13987.836363256014,2.1778523798975433
