Mach,CD Power-On
3.21,0.28496698
3.22,0.2841706
3.23,0.28337913
3.24,0.28259252
3.25,0.28181074
3.26,0.28103375
3.27,0.28026152
3.28,0.27949401
3.29,0.27873118
3.3,0.27797298
3.31,0.27721941
3.32,0.2764704
3.33,0.27572594
3.34,0.27498598
3.35,0.27425051
3.36,0.27351946
3.37,0.27279281
3.38,0.27207053
3.39,0.2713526
3.4,0.27063898
3.41,0.26992964
3.42,0.26922452
3.43,0.26852364
3.44,0.26782692
3.45,0.26713435
3.46,0.26644592
3.47,0.26576156
3.48,0.26508128
3.49,0.26440502
3.5,0.26373277
3.51,0.26306448
3.52,0.26240014
3.53,0.26173972
3.54,0.26108319
3.55,0.2604305
3.56,0.25978167
3.57,0.25913663
3.58,0.25849536
3.59,0.25785786
3.6,0.25722408
3.61,0.25659399
3.62,0.25596757
3.63,0.2553448
3.64,0.25472567
3.65,0.25411011
3.66,0.25349813
3.67,0.25288971
3.68,0.25228479
3.69,0.25168336
3.7,0.25108542
3.71,0.25049092
3.72,0.24989984
3.73,0.24931216
3.74,0.24872787
3.75,0.24814692
3.76,0.2475693
3.77,0.24699498
3.78,0.24642397
3.79,0.2458562
3.8,0.24529167
3.81,0.24473036
3.82,0.24417224
3.83,0.24361729
3.84,0.24306551
3.85,0.24251684
3.86,0.24191653
3.87,0.24131931
3.88,0.24072514
3.89,0.24013402
3.9,0.23954593
3.91,0.23896085
3.92,0.23837875
3.93,0.23779961
3.94,0.2372234
3.95,0.23665013
3.96,0.23607975
3.97,0.23551225
3.98,0.23494762
3.99,0.23438584
4,0.23382688
