Mach,CD Power-Off
3.2,0.33096139
3.21,0.33000566
3.22,0.32905486
3.23,0.32810898
3.24,0.32716796
3.25,0.32623177
3.26,0.32530037
3.27,0.32437373
3.28,0.3234518
3.29,0.32253456
3.3,0.32162195
3.31,0.32071397
3.32,0.31981054
3.33,0.31891167
3.34,0.3180173
3.35,0.31712742
3.36,0.31624196
3.37,0.3153609
3.38,0.31448421
3.39,0.31361187
3.4,0.31274383
3.41,0.31188007
3.42,0.31102055
3.43,0.31016526
3.44,0.30931413
3.45,0.30846714
3.46,0.30762429
3.47,0.30678553
3.48,0.30595084
3.49,0.30512016
3.5,0.3042935
3.51,0.3034708
3.52,0.30265205
3.53,0.30183722
3.54,0.30102627
3.55,0.30021917
3.56,0.29941592
3.57,0.29861648
3.58,0.2978208
3.59,0.29702888
3.6,0.29624069
3.61,0.29545619
3.62,0.29467535
3.63,0.29389818
3.64,0.29312463
3.65,0.29235466
3.66,0.29158827
3.67,0.29082543
3.68,0.2900661
3.69,0.28931027
3.7,0.28855791
3.71,0.28780899
3.72,0.28706351
3.73,0.28632142
3.74,0.28558271
3.75,0.28484735
3.76,0.28411532
3.77,0.28338659
3.78,0.28266116
3.79,0.28193898
3.8,0.28122004
3.81,0.28050432
3.82,0.27979179
3.83,0.27908242
3.84,0.27837623
3.85,0.27767315
3.86,0.27697318
3.87,0.27627631
3.88,0.27558248
3.89,0.27489171
3.9,0.27420396
3.91,0.27351922
3.92,0.27283746
3.93,0.27215866
3.94,0.2714828
3.95,0.27080987
3.96,0.27013983
3.97,0.26947268
3.98,0.26880839
3.99,0.26814696
4,0.26748834
